y,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,4000
n,n,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,6000
y,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,-1000
n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,8000
n,n,n,n,y,n,n,n,n,n,y,n,y,n,n,n,n,3000
n,n,n,n,n,n,n,n,n,n,y,n,n,y,y,n,n,3000
n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,5000
n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,y,n,7000
n,n,y,n,n,y,n,n,n,n,n,n,n,n,y,n,n,8000
n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,y,4000
n,y,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,7000
n,y,n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,4000
n,n,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,2000
n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,n,y,5000
n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,7000
n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,y,7000
n,n,n,n,n,n,y,n,y,n,n,n,n,y,n,n,n,3000
y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,6000
n,n,n,y,n,n,n,n,n,n,n,y,n,n,y,n,n,3000
n,y,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,5000
n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,n,-1000
n,n,n,y,n,n,n,n,n,n,y,y,n,n,n,n,n,3000
n,n,n,n,n,n,y,n,n,n,y,n,n,y,n,n,n,5000
n,n,y,n,n,n,n,n,n,n,y,n,y,n,n,n,n,5000
n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,8000
n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,7000
y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,7000
n,n,n,n,y,n,n,n,n,n,n,n,n,y,y,n,n,5000
n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,y,n,3000
n,n,n,n,y,n,y,n,n,n,n,n,n,n,n,y,n,0
n,y,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,5000
n,n,n,n,n,n,n,n,n,y,n,y,n,y,n,n,n,2000
n,n,y,n,n,n,n,n,n,y,n,y,n,n,n,n,n,8000
n,n,y,n,n,n,n,y,n,n,n,n,n,n,y,n,n,6000
n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,3000
n,n,n,n,n,n,n,n,n,y,y,n,n,n,y,n,n,3000
n,n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,6000
n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,y,n,4000
n,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,3000
n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,n,4000
n,y,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,7000
n,n,n,n,n,n,n,n,y,y,n,n,n,n,y,n,n,6000
n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,6000
n,n,n,n,n,n,n,n,n,y,n,n,y,n,y,n,n,2000
n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,y,n,5000
n,n,n,n,n,n,y,n,n,n,y,y,n,n,n,n,n,5000
n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,y,2000
n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,y,3000
y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,y,n,2000
n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,y,n,8000
n,y,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,2000
n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,3000
n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,5000
n,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,4000
n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,6000
n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,y,n,6000
y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,0
n,n,n,y,n,n,n,y,n,n,n,n,n,y,n,n,n,6000
n,n,n,n,n,n,y,n,n,n,y,n,n,y,n,n,n,3000
n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,y,7000
n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,y,n,3000
n,n,n,n,n,n,n,y,n,y,n,n,y,n,n,n,n,2000
n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,y,n,10000
n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,y,4000
y,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,6000
n,n,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,5000
n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,y,n,7000
n,n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,3000
n,n,n,n,n,y,n,n,n,n,y,y,n,n,n,n,n,6000
n,n,n,n,n,n,n,y,n,n,n,y,n,n,y,n,n,4000
n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,7000
n,n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,5000
n,y,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,2000
n,y,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,5000
y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,5000
y,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,6000
n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,y,4000
n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,y,n,3000
n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,10000
n,n,n,n,y,n,n,n,n,n,y,y,n,n,n,n,n,3000
y,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,4000
n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,y,n,5000
n,n,n,n,y,n,n,n,n,n,y,n,n,n,y,n,n,9000
n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,n,y,1000
n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,1000
n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,7000
n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n,6000
n,n,n,n,y,n,n,y,n,n,n,n,y,n,n,n,n,2000
n,n,n,n,n,y,n,n,n,y,y,n,n,n,n,n,n,5000
n,n,n,n,n,n,n,n,y,n,n,y,n,n,y,n,n,2000
n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,y,4000
n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,y,n,2000
n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,y,7000
y,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,5000
n,n,n,n,n,n,n,n,n,n,y,n,y,y,n,n,n,3000
n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,y,11000
y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,2000
y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,9000
y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,y,n,6000
n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,3000
n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,2000
y,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,n,5000
n,n,n,n,n,y,n,n,n,n,n,n,y,n,y,n,n,3000
n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,y,8000
n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,y,4000
n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,y,n,9000
n,y,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,4000
n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,1000
n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,8000
n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,y,n,6000
n,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,4000
n,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,7000
n,n,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,6000
n,n,n,n,y,n,n,n,y,n,y,n,n,n,n,n,n,6000
n,n,y,n,n,n,n,n,n,n,n,n,y,n,y,n,n,4000
n,n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,n,6000
n,y,n,n,n,n,n,n,y,n,n,n,n,y,n,n,n,2000
n,n,n,y,n,n,n,n,y,n,n,n,n,n,n,y,n,4000
n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,2000
n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,y,3000
y,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,9000
n,n,n,y,n,y,n,n,n,n,n,n,n,n,y,n,n,4000
n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,0
n,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,3000
n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,y,3000
n,n,n,y,n,n,n,y,y,n,n,n,n,n,n,n,n,7000
n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,6000
y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,8000
n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,4000
n,y,n,n,n,n,n,n,n,n,n,y,n,n,y,n,n,7000
n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,3000
n,n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,7000
n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,3000
n,n,n,n,n,n,n,n,y,y,n,y,n,n,n,n,n,3000
n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,n,n,6000
n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,y,n,5000
n,n,n,n,n,n,y,n,n,n,n,n,n,n,y,y,n,9000
n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,y,7000
n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,y,5000
n,y,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,4000
n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,y,n,1000
n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,y,n,7000
n,y,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,9000
n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,3000
n,y,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,6000
n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,y,2000
n,n,n,n,n,n,y,y,n,n,y,n,n,n,n,n,n,9000
n,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,5000
y,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,7000
y,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,1000
y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,7000
n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,y,3000
y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,2000
n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,y,n,3000
n,n,n,n,n,y,y,n,n,n,n,n,y,n,n,n,n,3000
y,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,n,3000
n,n,n,n,n,n,n,n,n,n,y,y,n,n,y,n,n,2000
n,n,n,n,n,n,n,y,n,n,n,y,n,y,n,n,n,2000
n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,6000
n,n,y,n,n,n,n,n,n,y,y,n,n,n,n,n,n,3000
y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,y,0
n,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,y,1000
n,n,n,n,n,y,n,y,n,n,n,y,n,n,n,n,n,6000
y,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,n,7000
n,y,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,4000
n,n,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,6000
n,n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,7000
n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,6000
n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,y,5000
n,n,n,n,n,n,n,y,n,y,n,n,n,y,n,n,n,4000
n,n,n,n,n,n,n,y,y,n,n,n,y,n,n,n,n,5000
n,y,n,n,n,n,n,n,n,n,y,n,n,y,n,n,n,7000
n,n,n,n,n,n,n,y,y,n,y,n,n,n,n,n,n,6000
n,n,y,n,n,n,n,n,n,y,n,n,n,n,n,y,n,3000
y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,9000
n,n,n,n,n,n,n,y,n,n,n,n,y,y,n,n,n,-1000
n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,3000
n,y,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,5000
n,n,n,n,n,y,n,n,n,n,y,n,y,n,n,n,n,3000
n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,y,4000
n,n,n,n,n,y,n,y,n,n,n,n,n,y,n,n,n,0
n,n,y,n,n,y,n,n,n,n,n,n,y,n,n,n,n,9000
y,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,5000
y,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,7000
n,y,n,n,n,n,n,y,n,n,y,n,n,n,n,n,n,5000
n,n,n,y,n,n,n,n,n,n,n,n,y,n,y,n,n,5000
n,n,y,n,n,n,n,n,y,n,n,n,y,n,n,n,n,7000
n,n,n,y,y,n,n,n,n,n,n,y,n,n,n,n,n,5000
y,n,n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,8000
n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,y,n,6000
n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,y,5000
n,n,n,n,y,n,n,n,n,y,n,n,y,n,n,n,n,7000
n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,5000
n,n,n,n,n,n,n,y,n,n,n,n,y,n,y,n,n,2000
n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,n,n,3000
y,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,8000
n,n,y,y,n,n,n,n,n,y,n,n,n,n,n,n,n,7000
n,n,n,n,n,y,n,n,n,n,y,n,n,n,y,n,n,-2000
y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,n,2000
n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,7000
n,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n,5000
n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,3000
n,y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,1000
n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,6000
n,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,4000
n,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,y,5000
y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,3000
n,n,n,n,n,n,y,n,n,y,n,n,n,n,n,y,n,8000
n,n,n,n,n,n,y,n,n,y,n,n,n,y,n,n,n,8000
y,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,5000
y,n,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,5000
y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,y,4000
n,n,y,n,y,n,n,n,n,n,n,n,n,n,n,y,n,8000
y,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,y,6000
n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,y,3000
n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,y,7000
n,n,n,y,n,n,y,n,n,n,n,n,y,n,n,n,n,5000
n,n,y,n,n,n,n,n,n,n,n,n,y,y,n,n,n,3000
y,n,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,9000
n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,5000
n,n,y,n,n,y,n,n,n,n,y,n,n,n,n,n,n,4000
n,n,n,n,n,n,n,y,n,n,n,n,y,y,n,n,n,4000
n,n,n,y,n,n,n,n,n,y,n,n,n,n,y,n,n,3000
y,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,3000
n,n,n,n,n,n,n,n,n,n,n,y,n,y,n,n,y,8000
n,n,y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,10000
n,n,n,n,n,n,n,y,y,n,n,y,n,n,n,n,n,5000
n,n,y,n,n,n,n,n,n,n,n,y,n,n,y,n,n,3000
y,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,6000
n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,y,3000
y,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,2000
n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,y,n,8000
n,y,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,-1000
y,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,5000
n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,n,n,6000
n,y,n,n,n,n,y,n,n,n,n,n,n,n,y,n,n,5000
y,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,3000
y,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,3000
y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,9000
n,n,n,y,n,n,n,n,n,y,n,y,n,n,n,n,n,3000
n,n,n,n,y,n,n,n,n,n,y,n,n,n,y,n,n,4000
n,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,-1000
n,n,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,3000
n,n,n,y,n,y,n,n,n,n,n,n,y,n,n,n,n,5000
y,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,4000
n,n,n,n,n,n,y,n,y,n,n,n,y,n,n,n,n,2000
n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,n,7000
n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,y,n,3000
n,n,n,n,n,n,n,n,y,n,y,n,n,n,n,n,y,2000
n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,y,9000
y,n,n,n,y,n,n,y,n,n,n,n,n,n,n,n,n,6000
n,y,n,n,n,n,n,n,n,n,n,y,n,y,n,n,n,5000
n,y,n,n,n,n,y,n,n,n,n,y,n,n,n,n,n,6000
y,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,2000
n,n,n,n,n,n,y,n,y,n,y,n,n,n,n,n,n,3000
